Id;Vendor;Catalog Number;Name;Retired At;Well Count;Well Depth (mm);Height (mm);Well Volume (ul);Column Count;Capabilities;Acceptable Lids;Sale Price
chemspeed-sealed-pin;Chemspeed;unknown;Chemspeed Pin;-;1;32;32;9000;1;provision;;*$0.00*
384-v-clear-clear;Greiner;781280;384-Well PP V-Bottom Microplate;-;384;11.5;14.4;120;24;cover, deseal, dispense-destination, echo_dest, envision, image_plate, incubate, luminescence, pipette, seal, spin, stamp, uncover;universal, standard, ultra-clear, foil;*$7.93*
1536-tc-white-corning-3727;Corning;3727;1536 well Corning white TC treated HiBase;-;1536;4.8;10.4;12.5;48;absorbance, cover, dispense, dispense-destination, echo_dest, envision, fluorescence, image_plate, incubate, liquid_handle, luminescence, pipette, provision, seal, spectrophotometry, spin, uncover, unseal;standard, universal, low_evaporation, ultra-clear, foil;*$0.00*
1536-white-tc;Greiner;782073;1536 Greiner White TC-treated HiBase;-;1536;5;10.4;10;48;absorbance, cover, dispense, dispense-destination, echo_dest, envision, fluorescence, image_plate, incubate, liquid_handle, luminescence, pipette, provision, seal, spectrophotometry, spin, uncover, unseal;standard, universal, low_evaporation, ultra-clear, foil;*$0.00*
a1-vial;Tradewinds;unknown;A1 vial;-;1;41.7;42;3500;1;cover, evaporate, incubate, liquid_handle, measure_mass, provision, uncover;screw-cap;*$0.00*
96-deep;Corning;3961;96-Well Clear V-Bottom Polypropylene Deep Well Plate;-;96;42.03;43.8;2000;12;deseal, dispense-destination, flash_freeze, image_plate, incubate, magnetic_separate, magnetic_transfer_deep, maxiprep_destination, maxiprep_source, miniprep_source, seal, spin, stamp;standard, universal, breathable;*$9.94*
d2-vial;unknown;unknown;HRD2 Vial;-;1;90.5;95.3;40000;1;agitate, cover, dispense, elution-dest, evaporate, image, incubate, lcms, liquid_handle, measure_mass, provision, spe, spin, uncover;screw-cap;*$1.19*
res-mw12-hp;Axygen;res-mw12-hp;Multiple Well Reagent Reservoir with 12-Channel Trough, High Profile;-;12;39.3;44.04;21000;12;cover, dispense-destination, incubate, liquid_handle, uncover;universal;*$8.35*
flask-25;not_applicable;not_applicable;25mL Flask;-;1;0;-;25000;1;cover, dispense-source, incubate, provision, seal, spin, transfer, uncover;screw-cap;*$0.89*
384-ubottom-white-tc;Sumitomo Bakelite Co.;MS-9384WZ;Sumitomo Bakelite Co. PrimeSurface384U White Plate 3-D Cell Culture Plate;-;384;12;14.4;100;24;absorbance, agitate, cover, deseal, dispense, dispense-destination, echo_dest, echo_source, fluorescence, image, image_plate, incubate, liquid_handle, luminescence, pipette, provision, seal, spectrophotometry, spin, stamp, thermocycle, transfer, uncover;breathable, foil, low_evaporation, ultra-clear, universal, standard;*$0.00*
d1-vial;Tradewinds;unknown;D1 vial;-;1;62.4;63;25900;1;agitate, cover, dispense, elution-dest, evaporate, image, incubate, lcms, liquid_handle, measure_mass, provision, spe, spin, uncover;screw-cap;*$0.00*
mrv-large;unknown;unknown;Large MRV;-;1;81.25;83;20000;1;agitate, cover, dispense, evaporate, image, incubate, liquid_handle, measure_mass, provision, spe, spin, uncover;screw-cap;*$1.19*
